coordenacao;departamento;codigo;disciplina;turma;ano;docentes;aprovados;cancelados;matriculados;modoOferta;periodo;projetoExtensao;reprovadosfrequencia;reprovadosnota;situacao;total;vagasTotal
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA124;ESTÁGIO SUPERVISIONADO;D;2023;WANDER DA CRUZ;1;0;0;Presencial;1° Semestre;;0;0;Encerrada;1;1
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA124;ESTÁGIO SUPERVISIONADO;E;2023;;0;1;0;Presencial;1° Semestre;;0;0;Inativada;1;1
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA124;ESTÁGIO SUPERVISIONADO;F;2023;LEONARDO ERCOLIN FILHO;1;0;0;Presencial;1° Semestre;;0;0;Encerrada;1;1
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA124;ESTÁGIO SUPERVISIONADO;G;2023;DANIEL ARANA;1;0;0;Presencial;1° Semestre;;0;0;Encerrada;1;1
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA124;ESTÁGIO SUPERVISIONADO;H;2023;;0;1;0;Presencial;1° Semestre;;0;0;Inativada;1;1
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA124;ESTÁGIO SUPERVISIONADO;I;2023;;;;;Presencial;1° Semestre;;;;Inativada;;1
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA125;LEVANTAMENTOS GEODÉSICOS I;A;2023;PEDRO LUIS FAGGION;11;0;0;Presencial;1° Semestre;;0;1;Encerrada;12;15
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA125;LEVANTAMENTOS GEODÉSICOS I;B;2023;;;;;Presencial;1° Semestre;;;;Inativada;;15
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA126;CARTOGRAFIA TEMÁTICA;A;2023;LUCIENE STAMATO DELAZARI;11;0;0;Presencial;1° Semestre;;0;1;Encerrada;12;25
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA127;FOTOGRAMETRIA III;A;2023;ANA PAULA BAUNGARTEN KERSTING;16;1;0;Presencial;1° Semestre;;1;2;Encerrada;20;35
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA128;MECÂNICA E ESTRUTURAS GEODÉSICAS I;A;2023;TIAGO LIMA RODRIGUES;7;2;0;Presencial;1° Semestre;;2;0;Encerrada;11;35
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA134;GESTÃO TERRITORIAL;A;2023;ALZIR FELIPPE BUFFARA ANTUNES;16;0;0;Presencial;1° Semestre;;1;0;Encerrada;17;35
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA135;CADASTRO TERRITORIAL MULTIFINALITÁRIO;A;2023;ALZIR FELIPPE BUFFARA ANTUNES;15;0;0;Presencial;1° Semestre;;1;0;Encerrada;16;35
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA143;FOTOGRAMETRIA TERRESTRE;A;2023;ANA PAULA BAUNGARTEN KERSTING;10;2;0;Presencial;1° Semestre;;1;0;Encerrada;13;15
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA155;DESENVOLVIMENTO DE APLICAÇÕES GEOESPACIAIS;A;2023;SILVANA PHILIPPI CAMBOIM;2;0;0;Presencial;1° Semestre;;0;0;Encerrada;2;15
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA156;POSICIONAMENTO GNSS EM TEMPO REAL;A;2023;;;;;Presencial;1° Semestre;;;;Inativada;;12
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA158;PROJETO FINAL;A;2023;WANDER DA CRUZ;1;0;0;Presencial;1° Semestre;;0;0;Encerrada;1;1
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA158;PROJETO FINAL;B;2023;LUÍS AUGUSTO KOENIG VEIGA;1;0;0;Presencial;1° Semestre;;0;0;Encerrada;1;1
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA158;PROJETO FINAL;C;2023;WANDER DA CRUZ;1;0;0;Presencial;1° Semestre;;0;0;Encerrada;1;1
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA158;PROJETO FINAL;D;2023;NAISSA BATISTA DA LUZ;1;0;0;Presencial;1° Semestre;;0;0;Encerrada;1;1
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA158;PROJETO FINAL;E;2023;LUÍS AUGUSTO KOENIG VEIGA;1;0;0;Presencial;1° Semestre;;0;0;Encerrada;1;1
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA159;SENSORIAMENTO REMOTO APLICADO À ANÁLISE URBANA;A;2023;ALZIR FELIPPE BUFFARA ANTUNES;4;2;0;Presencial;1° Semestre;;0;0;Encerrada;6;15
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA161;TOPOGRAFIA E GEODÉSIA APLICADAS A PROJETOS VIÁRIOS;A;2023;WANDER DA CRUZ;5;0;0;Presencial;1° Semestre;;1;0;Encerrada;6;15
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA200;TOPOGRAFIA I;A;2023;LUÍS AUGUSTO KOENIG VEIGA;11;0;0;Presencial;1° Semestre;Especialização em Cirurgia Plástica e Reparadora - 2010;3;12;Encerrada;26;28
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Hidráulica e Saneamento;TH048;SANEAMENTO BÁSICO E AMBIENTAL;A;2023;MARIA CAROLINA VIEIRA DA ROCHA;15;0;0;Presencial;1° Semestre;;3;0;Encerrada;18;40
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Informática;CI180;PROGRAMAÇÃO DE COMPUTADORES;A;2023;CARMEM SATIE HARA;6;0;0;Presencial;1° Semestre;;5;14;Encerrada;25;44
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Informática;CI180;PROGRAMAÇÃO DE COMPUTADORES;B;2023;CARMEM SATIE HARA;0;0;0;Presencial;1° Semestre;;6;1;Encerrada;7;40
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Matemática;CM300;INTRODUÇÃO AO CÁLCULO;A;2023;JURANDIR CECCON;17;6;0;Presencial;1° Semestre;;0;30;Encerrada;53;56
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Matemática;CM302;CÁLCULO EM VÁRIAS VARIÁVEIS REAIS;A;2023;ADRIANA LUIZA DO PRADO;29;1;0;Presencial;1° Semestre;;2;0;Encerrada;32;40
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Matemática;CM303;INTRODUÇÃO À GEOMETRIA ANALÍTICA E ÁLGEBRA LINEAR;A;2023;TANISE CARNIERI PIERIN;12;0;1;Presencial;1° Semestre;;0;40;Em aula;53;53
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Transportes;TT081;ADMINISTRAÇÃO DE EMPRESAS;A;2023;GARRONE RECK;16;1;0;Presencial;1° Semestre;;5;3;Encerrada;25;40
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Transportes;TT082;PROJETO DE OBRAS VIÁRIAS E PLANEJAMENTO URBANO;A;2023;ANELISE SCHMITZ;12;0;0;Presencial;1° Semestre;;2;0;Encerrada;14;40
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Estatística;CE009;INTRODUÇÃO À ESTATÍSTICA;A;2023;STELA ADAMI VAYEGO;0;0;40;Presencial;2° Semestre;;0;0;Em matrícula;40;40
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Física;CF106;FÍSICA F2;A;2023;FÁBIO MARCEL ZANETTI;0;0;24;Presencial;2° Semestre;;0;0;Em matrícula;24;45
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geografia;GB121;ELEMENTOS DE GEOMORFOLOGIA;A;2023;;0;0;15;Presencial;2° Semestre;;0;0;Em matrícula;15;30
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA101;TOPOGRAFIA II;A;2023;DANIEL ARANA;0;0;10;Presencial;2° Semestre;;0;0;Em matrícula;10;20
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA102;CARTOGRAFIA GERAL;A;2023;NAISSA BATISTA DA LUZ;0;0;8;Presencial;2° Semestre;;0;0;Em matrícula;8;20
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA108;LEVANTAMENTOS TOPOGRÁFICOS II;A;2023;PEDRO LUIS FAGGION;0;0;13;Presencial;2° Semestre;;0;0;Em matrícula;13;15
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA109;PROJEÇÕES CARTOGRÁFICAS I;A;2023;HENRIQUE FIRKOWSKI;0;0;14;Presencial;2° Semestre;;0;0;Em matrícula;14;22
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA110;AJUSTAMENTO II;A;2023;ANA PAULA BAUNGARTEN KERSTING;0;0;9;Presencial;2° Semestre;;0;0;Em matrícula;9;22
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA111;SENSORIAMENTO REMOTO I;A;2023;JORGE ANTONIO SILVA CENTENO;0;0;18;Presencial;2° Semestre;;0;0;Em matrícula;18;22
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA119;MÉTODOS GEODÉSICOS;A;2023;REGIANE DALAZOANA;0;0;17;Presencial;2° Semestre;;0;0;Em matrícula;17;20
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA120;CARTOGRAFIA TOPOGRÁFICA;A;2023;HENRIQUE FIRKOWSKI;0;0;17;Presencial;2° Semestre;;0;0;Em matrícula;17;22
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA121;FOTOGRAMETRIA II;A;2023;EDSON APARECIDO MITISHITA;0;0;12;Presencial;2° Semestre;;0;0;Em matrícula;12;22
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA122;SISTEMAS DE INFORMAÇÕES GEOGRÁFICAS;A;2023;SILVANA PHILIPPI CAMBOIM;0;0;19;Presencial;2° Semestre;;0;0;Em matrícula;19;22
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA123;PROJETO E ANÁLISE DE REDES GEODÉSICAS;A;2023;ÉRICA SANTOS MATOS BALUTA;0;0;16;Presencial;2° Semestre;;0;0;Em matrícula;16;20
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA124;ESTÁGIO SUPERVISIONADO;A;2023;;0;0;5;Presencial;2° Semestre;;0;0;Em matrícula;5;20
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA129;LEVANTAMENTO GEODÉSICOS II;A;2023;CLAUDIA PEREIRA KRUEGER;0;0;6;Presencial;2° Semestre;;0;0;Em matrícula;6;15
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA130;PROJETO DE ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;A;2023;MARLO ANTONIO RIBEIRO MARTINS;0;0;4;Presencial;2° Semestre;;0;0;Em matrícula;4;15
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA131;FOTOGRAMETRIA IV;A;2023;ANA PAULA BAUNGARTEN KERSTING;0;0;19;Presencial;2° Semestre;;0;0;Em matrícula;19;25
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA132;MECÂNICA E ESTRUTURAS GEODÉSICAS II;A;2023;TIAGO LIMA RODRIGUES;0;0;8;Presencial;2° Semestre;;0;0;Em matrícula;8;15
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA133;DIREITO AGRÁRIO;A;2023;DANIELE REGINA PONTES;0;0;13;Presencial;2° Semestre;;0;0;Em matrícula;13;30
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA139;PERÍCIAS E AVALIAÇÕES PATRIMONIAIS;A;2023;LUÍS AUGUSTO KOENIG VEIGA;0;0;12;Presencial;2° Semestre;;0;0;Em matrícula;12;12
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA144;PROCESSAMENTO DIGITAL DE IMAGENS II;A;2023;JORGE ANTONIO SILVA CENTENO;0;0;5;Presencial;2° Semestre;;0;0;Em matrícula;5;12
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA145;GENERALIZAÇÃO CARTOGRÁFICA;A;2023;HENRIQUE FIRKOWSKI;0;0;11;Presencial;2° Semestre;;0;0;Em matrícula;11;12
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA153;PROGRAMAÇÃO APLICADA;A;2023;PAULO SERGIO DE OLIVEIRA JUNIOR;0;0;13;Presencial;2° Semestre;;0;0;Em matrícula;13;22
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA156;POSICIONAMENTO GNSS EM TEMPO REAL;A;2023;CHRISTIAN GONZALO PILAPANTA AMAGUA;0;0;5;Presencial;2° Semestre;;0;0;Em matrícula;5;12
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA166;TÉCNICAS MODERNAS DE AQUISIÇÃO E PROCESSAMENTO DE DADOS ESPACIAIS;A;2023;EDSON APARECIDO MITISHITA;0;0;1;Presencial;2° Semestre;;0;0;Em matrícula;1;12
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA201;TOPOGRAFIA II;A;2023;LUÍS AUGUSTO KOENIG VEIGA;0;0;10;Presencial;2° Semestre;Especialização em Cirurgia Plástica e Reparadora - 2010;0;0;Em matrícula;10;25
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA202;CARTOGRAFIA GERAL;A;2023;LUCIENE STAMATO DELAZARI;0;0;23;Presencial;2° Semestre;Dívida Pública: uma análise da Grécia ao Paraná;0;0;Em matrícula;23;25
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA253;PROGRAMAÇÃO APLICADA;A;2023;HIDEO ARAKI;0;0;9;Presencial;2° Semestre;Regulamentar a mobilidade da docente Profa. Eliane Cristina Gruszka Vendruscolo, que participá sem prejuízos as atividades acadêmicas e administrativas, para atuar como docente colaborador do Programa de Pós-Graduação Stricto Sensu em Agronomia da UNIOESTE.;0;0;Em matrícula;9;22
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Informática;CI180;PROGRAMAÇÃO DE COMPUTADORES;A;2023;DEÓGENES PEREIRA DA SILVA JUNIOR;0;0;24;Presencial;2° Semestre;;0;0;Em matrícula;24;30
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Informática;CI181;MÉTODOS NUMÉRICOS;A;2023;OLGA REGINA PEREIRA BELLON;0;0;27;Presencial;2° Semestre;;0;0;Em matrícula;27;40
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Matemática;CM301;CÁLCULO EM UMA VARIÁVEL REAL;A;2023;TANISE CARNIERI PIERIN;0;0;30;Presencial;2° Semestre;;0;0;Em matrícula;30;30
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Transportes;TT080;ECONOMIA DE ENGENHARIA;A;2023;JOSE THOMAZ MENDES FILHO;0;0;30;Presencial;2° Semestre;;0;0;Em matrícula;30;30
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Expressão Gráfica;CEG001;DESENHO TÉCNICO I;A;2022;ZULEICA FARIA DE MEDEIROS;6;6;0;Presencial;1° Semestre;;6;15;Encerrada;33;40
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Expressão Gráfica;CEG001;DESENHO TÉCNICO I;B;2022;ZULEICA FARIA DE MEDEIROS;1;2;0;Presencial;1° Semestre;;4;0;Encerrada;7;40
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Física;CF105;FÍSICA E2;A;2022;SABRINA BORGES LINO ARAÚJO;5;6;0;Presencial;1° Semestre;;5;6;Encerrada;22;80
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geografia;GB122;ZONEAMENTO GEOGRÁFICO AMBIENTAL;A;2022;MARCELO ALVES TEODORO;12;1;0;Presencial;1° Semestre;;2;0;Encerrada;15;45
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geologia;GC137;FUNDAMENTOS DE GEOLOGIA E GEOQUÍMICA;A;2022;ELVO FASSBINDER;;;;Presencial;1° Semestre;;;;Inativada;;30
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geologia;GC137;FUNDAMENTOS DE GEOLOGIA E GEOQUÍMICA;B;2022;ELVO FASSBINDER;13;1;0;Presencial;1° Semestre;;0;0;Encerrada;14;30
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geologia;GC138;GEOFÍSICA BÁSICA;A;2022;ALESSANDRA DE BARROS E SILVA BONGIOLO;17;0;0;Presencial;1° Semestre;;1;1;Encerrada;19;45
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA100;TOPOGRAFIA I;A;2022;LUÍS AUGUSTO KOENIG VEIGA;16;2;0;Presencial;1° Semestre;;3;4;Encerrada;25;30
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA100;TOPOGRAFIA I;B;2022;DANIEL ARANA;10;3;0;Presencial;1° Semestre;;8;6;Encerrada;27;30
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA104;LEVANTAMENTOS TOPOGRÁFICOS I;A;2022;PEDRO LUIS FAGGION;2;0;0;Presencial;1° Semestre;;0;1;Encerrada;3;30
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA104;LEVANTAMENTOS TOPOGRÁFICOS I;B;2022;LUÍS AUGUSTO KOENIG VEIGA;15;1;0;Presencial;1° Semestre;;1;6;Encerrada;23;30
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA105;CARTOGRAFIA DIGITAL;A;2022;HENRIQUE FIRKOWSKI;12;0;0;Presencial;1° Semestre;;2;3;Encerrada;17;25
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA106;AJUSTAMENTO I;A;2022;ALEX SORIA MEDINA;12;2;0;Presencial;1° Semestre;;2;0;Encerrada;16;30
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA107;PROCESSAMENTO DIGITAL DE IMAGENS I;A;2022;JORGE ANTONIO SILVA CENTENO;9;2;0;Presencial;1° Semestre;;4;1;Encerrada;16;25
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA112;FUNDAMENTOS EM GEODÉSIA;A;2022;REGIANE DALAZOANA;10;0;0;Presencial;1° Semestre;;2;4;Encerrada;16;45
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA113;PROJEÇÕES CARTOGRÁFICAS II;A;2022;HENRIQUE FIRKOWSKI;12;0;0;Presencial;1° Semestre;;2;5;Encerrada;19;25
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA114;FOTOGRAMETRIA I;A;2022;ANA PAULA BAUNGARTEN KERSTING;15;0;0;Presencial;1° Semestre;;3;2;Encerrada;20;35
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA114;FOTOGRAMETRIA I;B;2022;;;;;Presencial;1° Semestre;;;;Inativada;;35
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA115;SENSORIAMENTO REMOTO II;A;2022;JORGE ANTONIO SILVA CENTENO;16;1;0;Presencial;1° Semestre;;3;0;Encerrada;20;21
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA116;SISTEMAS DE REFERÊNCIA E TEMPO;A;2022;ÉRICA SANTOS MATOS BALUTA;7;0;0;Presencial;1° Semestre;;2;0;Encerrada;9;40
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;Departamento de Geomática;GA117;BANCO DE DADOS GEOGRÁFICOS;A;2022;NAISSA BATISTA DA LUZ;9;1;0;Presencial;1° Semestre;;3;1;Encerrada;14;25
